epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
159,16627.4,0.26432,0.90531,1,0.22385,0.002179,0.002179,0.002179
160,16700.2,0.26058,0.90508,1,0.22352,0.0021295,0.0021295,0.0021295
161,16772,0.26516,0.90486,1,0.22281,0.00208,0.00208,0.00208
162,16843.6,0.25318,0.90442,1,0.22189,0.0020305,0.0020305,0.0020305
163,16915.8,0.25151,0.90453,1,0.22142,0.001981,0.001981,0.001981
164,16985.5,0.25655,0.9042,1,0.22139,0.0019315,0.0019315,0.0019315
165,17056.3,0.25128,0.90464,1,0.2207,0.001882,0.001882,0.001882
166,17125.9,0.257,0.9052,1,0.21995,0.0018325,0.0018325,0.0018325
167,17194.3,0.25202,0.90575,1,0.2183,0.001783,0.001783,0.001783
168,17266.3,0.25282,0.90564,1,0.21773,0.0017335,0.0017335,0.0017335
169,17337,0.24967,0.90542,1,0.21717,0.001684,0.001684,0.001684
170,17408.7,0.25164,0.90553,1,0.2162,0.0016345,0.0016345,0.0016345
171,17480.7,0.25325,0.90586,1,0.21588,0.001585,0.001585,0.001585
172,17551.9,0.24238,0.90508,1,0.21695,0.0015355,0.0015355,0.0015355
173,17623.1,0.24739,0.90542,1,0.21643,0.001486,0.001486,0.001486
174,17691.8,0.24234,0.90575,1,0.21589,0.0014365,0.0014365,0.0014365
175,17764.5,0.25124,0.90608,1,0.21541,0.001387,0.001387,0.001387
176,17836.6,0.2384,0.90642,1,0.21501,0.0013375,0.0013375,0.0013375
177,17909.5,0.23674,0.90631,1,0.2141,0.001288,0.001288,0.001288
178,17980.5,0.24136,0.90631,1,0.21395,0.0012385,0.0012385,0.0012385
179,18049.7,0.23882,0.90564,1,0.21425,0.001189,0.001189,0.001189
180,18119.3,0.23908,0.90631,1,0.21311,0.0011395,0.0011395,0.0011395
181,18192.4,0.23768,0.90631,1,0.21331,0.00109,0.00109,0.00109
182,18262.5,0.23228,0.90675,1,0.21238,0.0010405,0.0010405,0.0010405
183,18333.2,0.23879,0.90619,1,0.21274,0.000991,0.000991,0.000991
184,18403.6,0.23104,0.90608,1,0.21278,0.0009415,0.0009415,0.0009415
185,18473.9,0.23365,0.90742,1,0.21101,0.000892,0.000892,0.000892
186,18545.2,0.23455,0.90764,1,0.2104,0.0008425,0.0008425,0.0008425
187,18612.1,0.22705,0.9073,1,0.21143,0.000793,0.000793,0.000793
188,18684.2,0.22841,0.90653,1,0.21207,0.0007435,0.0007435,0.0007435
189,18758.2,0.22895,0.90586,1,0.21287,0.000694,0.000694,0.000694
190,18829.8,0.23212,0.90542,1,0.21346,0.0006445,0.0006445,0.0006445
191,18901.3,0.23073,0.90497,1,0.21486,0.000595,0.000595,0.000595
192,18971.9,0.23002,0.90475,1,0.2152,0.0005455,0.0005455,0.0005455
193,19043.5,0.22533,0.90608,1,0.21306,0.000496,0.000496,0.000496
194,19112.8,0.22584,0.90708,1,0.21103,0.0004465,0.0004465,0.0004465
195,19181.4,0.21697,0.90764,1,0.20985,0.000397,0.000397,0.000397
196,19252.8,0.22001,0.90742,1,0.20914,0.0003475,0.0003475,0.0003475
197,19325.5,0.21828,0.90797,1,0.20831,0.000298,0.000298,0.000298
198,19399.4,0.22689,0.90853,1,0.20684,0.0002485,0.0002485,0.0002485
199,19469.8,0.21211,0.9093,1,0.2064,0.000199,0.000199,0.000199
200,19541.1,0.2138,0.90997,1,0.20518,0.0001495,0.0001495,0.0001495
